lng,lat
117.48,30.67
117.48,30.67
117.48,30.67
117.48,30.67
117.48,30.67
117.01,25.06
117.01,25.06
117.01,25.06
117.01,25.06
117.01,25.06
104.62,35.58
104.62,35.58
104.62,35.58
104.62,35.58
104.62,35.58
102.1,38.28
102.1,38.28
102.1,38.28
102.1,38.28
102.1,38.28
104.92,33.4
104.92,33.4
104.92,33.4
104.92,33.4
104.92,33.4
105.42,34.37
105.42,34.37
105.42,34.37
105.42,34.37
105.42,34.37
100.26,38.56
100.26,38.56
100.26,38.56
100.26,38.56
100.26,38.56
114.41,23.43
114.41,23.43
114.41,23.43
114.41,23.43
114.41,23.43
115.21,22.47
115.21,22.47
115.21,22.47
115.21,22.47
115.21,22.47
106.42,26.35
106.42,26.35
106.42,26.35
106.42,26.35
106.42,26.35
104.5,26.35
104.5,26.35
104.5,26.35
104.5,26.35
104.5,26.35
104.9,25.08
104.9,25.08
104.9,25.08
104.9,25.08
104.9,25.08
117.57,40.59
117.57,40.59
117.57,40.59
117.57,40.59
117.57,40.59
118.11,39.36
118.11,39.36
118.11,39.36
118.11,39.36
118.11,39.36
130.22,46.47
130.22,46.47
130.22,46.47
130.22,46.47
130.22,46.47
129.36,44.35
129.36,44.35
129.36,44.35
129.36,44.35
129.36,44.35
131.11,46.38
131.11,46.38
131.11,46.38
131.11,46.38
131.11,46.38
110.67,31.75
110.67,31.75
110.67,31.75
110.67,31.75
110.67,31.75
124.49,43.31
124.49,43.31
124.49,43.31
124.49,43.31
124.49,43.31
124.22,43.1
124.22,43.1
124.22,43.1
124.22,43.1
124.22,43.1
125.19,43.54
125.19,43.54
125.19,43.54
125.19,43.54
125.19,43.54
120.15,33.35
120.15,33.35
120.15,33.35
120.15,33.35
120.15,33.35
113.5,27.37
113.5,27.37
113.5,27.37
113.5,27.37
113.5,27.37
117.03,28.14
117.03,28.14
117.03,28.14
117.03,28.14
117.03,28.14
123.12,41.16
123.12,41.16
123.12,41.16
123.12,41.16
123.12,41.16
122.13,40.39
122.13,40.39
122.13,40.39
122.13,40.39
122.13,40.39
122.16,43.37
122.16,43.37
122.16,43.37
122.16,43.37
122.16,43.37
122.05,46.08
122.05,46.08
122.05,46.08
122.05,46.08
122.05,46.08
106.28,36
106.28,36
106.28,36
106.28,36
106.28,36
105.18,37.52
105.18,37.52
105.18,37.52
105.18,37.52
105.18,37.52
117.08,36.11
117.08,36.11
117.08,36.11
117.08,36.11
117.08,36.11
113.17,40.06
113.17,40.06
113.17,40.06
113.17,40.06
113.17,40.06
111.31,36.05
111.31,36.05
111.31,36.05
111.31,36.05
111.31,36.05
113.34,37.51
113.34,37.51
113.34,37.51
113.34,37.51
113.34,37.51
113.06,36.11
113.06,36.11
113.06,36.11
113.06,36.11
113.06,36.11
104.22,31.09
104.22,31.09
104.22,31.09
104.22,31.09
104.22,31.09
103.83,30.05
103.83,30.05
103.83,30.05
103.83,30.05
103.83,30.05
104.34,28.47
104.34,28.47
104.34,28.47
104.34,28.47
104.34,28.47
86,44.18
86,44.18
86,44.18
86,44.18
86,44.18
89.11,42.54
89.11,42.54
89.11,42.54
89.11,42.54
89.11,42.54
116.47,33.57
116.47,33.57
116.47,33.57
116.47,33.57
116.47,33.57
116.47,33.57
116.47,33.57
116.47,33.57
116.47,33.57
116.47,33.57
116.58,32.37
116.58,32.37
116.58,32.37
116.58,32.37
116.58,32.37
116.58,32.37
116.58,32.37
116.58,32.37
116.58,32.37
116.58,32.37
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
103.12,35.37
103.12,35.37
103.12,35.37
103.12,35.37
103.12,35.37
103.12,35.37
103.12,35.37
103.12,35.37
103.12,35.37
103.12,35.37
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
108.2,21.37
108.2,21.37
108.2,21.37
108.2,21.37
108.2,21.37
108.2,21.37
108.2,21.37
108.2,21.37
108.2,21.37
108.2,21.37
110.09,22.38
110.09,22.38
110.09,22.38
110.09,22.38
110.09,22.38
110.09,22.38
110.09,22.38
110.09,22.38
110.09,22.38
110.09,22.38
109.12,27.43
109.12,27.43
109.12,27.43
109.12,27.43
109.12,27.43
109.12,27.43
109.12,27.43
109.12,27.43
109.12,27.43
109.12,27.43
