"","lng","lat"
"1",117.02,30.31
"2",117.02,30.31
"3",117.02,30.31
"4",117.02,30.31
"5",117.02,30.31
"6",117.21,32.56
"7",117.21,32.56
"8",117.21,32.56
"9",117.21,32.56
"10",117.21,32.56
"11",115.47,33.52
"12",115.47,33.52
"13",115.47,33.52
"14",115.47,33.52
"15",115.47,33.52
"16",117.48,30.67
"17",117.48,30.67
"18",117.48,30.67
"19",117.48,30.67
"20",117.48,30.67
"21",118.18,32.18
"22",118.18,32.18
"23",118.18,32.18
"24",118.18,32.18
"25",118.18,32.18
"26",119.31,26.39
"27",119.31,26.39
"28",119.31,26.39
"29",119.31,26.39
"30",119.31,26.39
"31",118.36,24.56
"32",118.36,24.56
"33",118.36,24.56
"34",118.36,24.56
"35",118.36,24.56
"36",103.51,36.04
"37",103.51,36.04
"38",103.51,36.04
"39",103.51,36.04
"40",103.51,36.04
"41",113.01,23.42
"42",113.01,23.42
"43",113.01,23.42
"44",113.01,23.42
"45",113.01,23.42
"46",112.27,23.03
"47",112.27,23.03
"48",112.27,23.03
"49",112.27,23.03
"50",112.27,23.03
"51",106.36,23.54
"52",106.36,23.54
"53",106.36,23.54
"54",106.36,23.54
"55",106.36,23.54
"56",108.03,24.42
"57",108.03,24.42
"58",108.03,24.42
"59",108.03,24.42
"60",108.03,24.42
"61",111.2,23.29
"62",111.2,23.29
"63",111.2,23.29
"64",111.2,23.29
"65",111.2,23.29
"66",106.42,26.35
"67",106.42,26.35
"68",106.42,26.35
"69",106.42,26.35
"70",106.42,26.35
"71",107.52,26.27
"72",107.52,26.27
"73",107.52,26.27
"74",107.52,26.27
"75",107.52,26.27
"76",109.12,27.43
"77",109.12,27.43
"78",109.12,27.43
"79",109.12,27.43
"80",109.12,27.43
"81",114.3,38.02
"82",114.3,38.02
"83",114.3,38.02
"84",114.3,38.02
"85",114.3,38.02
"86",112.27,34.41
"87",112.27,34.41
"88",112.27,34.41
"89",112.27,34.41
"90",112.27,34.41
"91",111.12,34.47
"92",111.12,34.47
"93",111.12,34.47
"94",111.12,34.47
"95",111.12,34.47
"96",114.04,32.07
"97",114.04,32.07
"98",114.04,32.07
"99",114.04,32.07
"100",114.04,32.07
"101",114.38,33.37
"102",114.38,33.37
"103",114.38,33.37
"104",114.38,33.37
"105",114.38,33.37
"106",125.01,46.36
"107",125.01,46.36
"108",125.01,46.36
"109",125.01,46.36
"110",125.01,46.36
"111",126.36,45.44
"112",126.36,45.44
"113",126.36,45.44
"114",126.36,45.44
"115",126.36,45.44
"116",129.36,44.35
"117",129.36,44.35
"118",129.36,44.35
"119",129.36,44.35
"120",129.36,44.35
"121",114.52,30.23
"122",114.52,30.23
"123",114.52,30.23
"124",114.52,30.23
"125",114.52,30.23
"126",110.47,32.4
"127",110.47,32.4
"128",110.47,32.4
"129",110.47,32.4
"130",110.47,32.4
"131",113.02,25.46
"132",113.02,25.46
"133",113.02,25.46
"134",113.02,25.46
"135",113.02,25.46
"136",112.53,27.52
"137",112.53,27.52
"138",112.53,27.52
"139",112.53,27.52
"140",112.53,27.52
"141",113.09,27.51
"142",113.09,27.51
"143",113.09,27.51
"144",113.09,27.51
"145",113.09,27.51
"146",126.33,43.52
"147",126.33,43.52
"148",126.33,43.52
"149",126.33,43.52
"150",126.33,43.52
"151",124.49,45.11
"152",124.49,45.11
"153",124.49,45.11
"154",124.49,45.11
"155",124.49,45.11
"156",125.19,43.54
"157",125.19,43.54
"158",125.19,43.54
"159",125.19,43.54
"160",125.19,43.54
"161",119.1,34.36
"162",119.1,34.36
"163",119.1,34.36
"164",119.1,34.36
"165",119.1,34.36
"166",120.51,32.01
"167",120.51,32.01
"168",120.51,32.01
"169",120.51,32.01
"170",120.51,32.01
"171",120.18,31.34
"172",120.18,31.34
"173",120.18,31.34
"174",120.18,31.34
"175",120.18,31.34
"176",119.26,32.23
"177",119.26,32.23
"178",119.26,32.23
"179",119.26,32.23
"180",119.26,32.23
"181",116.35,28
"182",116.35,28
"183",116.35,28
"184",116.35,28
"185",116.35,28
"186",114.58,27.07
"187",114.58,27.07
"188",114.58,27.07
"189",114.58,27.07
"190",114.58,27.07
"191",115.58,29.43
"192",115.58,29.43
"193",115.58,29.43
"194",115.58,29.43
"195",115.58,29.43
"196",113.5,27.37
"197",113.5,27.37
"198",113.5,27.37
"199",113.5,27.37
"200",113.5,27.37
"201",114.56,27.48
"202",114.56,27.48
"203",114.56,27.48
"204",114.56,27.48
"205",114.56,27.48
"206",120.27,41.34
"207",120.27,41.34
"208",120.27,41.34
"209",120.27,41.34
"210",120.27,41.34
"211",121.36,38.55
"212",121.36,38.55
"213",121.36,38.55
"214",121.36,38.55
"215",121.36,38.55
"216",111.41,40.48
"217",111.41,40.48
"218",111.41,40.48
"219",111.41,40.48
"220",111.41,40.48
"221",117.23,49.35
"222",117.23,49.35
"223",117.23,49.35
"224",117.23,49.35
"225",117.23,49.35
"226",106.16,38.27
"227",106.16,38.27
"228",106.16,38.27
"229",106.16,38.27
"230",106.16,38.27
"231",105.18,37.52
"232",105.18,37.52
"233",105.18,37.52
"234",105.18,37.52
"235",105.18,37.52
"236",116.33,35.23
"237",116.33,35.23
"238",116.33,35.23
"239",116.33,35.23
"240",116.33,35.23
"241",119.32,35.23
"242",119.32,35.23
"243",119.32,35.23
"244",119.32,35.23
"245",119.32,35.23
"246",119.06,36.43
"247",119.06,36.43
"248",119.06,36.43
"249",119.06,36.43
"250",119.06,36.43
"251",112.33,37.54
"252",112.33,37.54
"253",112.33,37.54
"254",112.33,37.54
"255",112.33,37.54
"256",109.01,32.41
"257",109.01,32.41
"258",109.01,32.41
"259",109.01,32.41
"260",109.01,32.41
"261",108.43,34.2
"262",108.43,34.2
"263",108.43,34.2
"264",108.43,34.2
"265",108.43,34.2
"266",109.28,36.35
"267",109.28,36.35
"268",109.28,36.35
"269",109.28,36.35
"270",109.28,36.35
"271",107.5,31.22
"272",107.5,31.22
"273",107.5,31.22
"274",107.5,31.22
"275",107.5,31.22
"276",104.22,31.09
"277",104.22,31.09
"278",104.22,31.09
"279",104.22,31.09
"280",104.22,31.09
"281",105.33,30.31
"282",105.33,30.31
"283",105.33,30.31
"284",105.33,30.31
"285",105.33,30.31
"286",102.59,29.59
"287",102.59,29.59
"288",102.59,29.59
"289",102.59,29.59
"290",102.59,29.59
"291",119.39,29.07
"292",119.39,29.07
"293",119.39,29.07
"294",119.39,29.07
"295",119.39,29.07
"296",120.34,30
"297",120.34,30
"298",120.34,30
"299",120.34,30
"300",120.34,30
"301",122.06,30.01
"302",122.06,30.01
"303",122.06,30.01
"304",122.06,30.01
"305",122.06,30.01
"306",122.06,30.01
"307",122.06,30.01
"308",122.06,30.01
"309",122.06,30.01
"310",122.06,30.01
"311",115.48,32.54
"312",115.48,32.54
"313",115.48,32.54
"314",115.48,32.54
"315",115.48,32.54
"316",115.48,32.54
"317",115.48,32.54
"318",115.48,32.54
"319",115.48,32.54
"320",115.48,32.54
"321",116.28,31.44
"322",116.28,31.44
"323",116.28,31.44
"324",116.28,31.44
"325",116.28,31.44
"326",116.28,31.44
"327",116.28,31.44
"328",116.28,31.44
"329",116.28,31.44
"330",116.28,31.44
"331",110.24,21.11
"332",110.24,21.11
"333",110.24,21.11
"334",110.24,21.11
"335",110.24,21.11
"336",110.24,21.11
"337",110.24,21.11
"338",110.24,21.11
"339",110.24,21.11
"340",110.24,21.11
"341",113.22,22.31
"342",113.22,22.31
"343",113.22,22.31
"344",113.22,22.31
"345",113.22,22.31
"346",113.22,22.31
"347",113.22,22.31
"348",113.22,22.31
"349",113.22,22.31
"350",113.22,22.31
"351",110.17,25.17
"352",110.17,25.17
"353",110.17,25.17
"354",110.17,25.17
"355",110.17,25.17
"356",110.17,25.17
"357",110.17,25.17
"358",110.17,25.17
"359",110.17,25.17
"360",110.17,25.17
"361",109.24,23.19
"362",109.24,23.19
"363",109.24,23.19
"364",109.24,23.19
"365",109.24,23.19
"366",109.24,23.19
"367",109.24,23.19
"368",109.24,23.19
"369",109.24,23.19
"370",109.24,23.19
"371",109.31,18.14
"372",109.31,18.14
"373",109.31,18.14
"374",109.31,18.14
"375",109.31,18.14
"376",109.31,18.14
"377",109.31,18.14
"378",109.31,18.14
"379",109.31,18.14
"380",109.31,18.14
"381",110.39,18.8
"382",110.39,18.8
"383",110.39,18.8
"384",110.39,18.8
"385",110.39,18.8
"386",110.39,18.8
"387",110.39,18.8
"388",110.39,18.8
"389",110.39,18.8
"390",110.39,18.8
"391",112.58,34.46
"392",112.58,34.46
"393",112.58,34.46
"394",112.58,34.46
"395",112.58,34.46
"396",112.58,34.46
"397",112.58,34.46
"398",112.58,34.46
"399",112.58,34.46
