"","lng","lat"
"1",102.1,38.28
"2",111.2,23.29
"3",109.83,19.05
"4",122.13,40.39
"5",106.59,38.16
"6",106.22,39.02
"7",91.08,29.39
"8",89.11,42.54
"9",103.12,35.37
"10",103.12,35.37
"11",100.26,38.56
"12",100.26,38.56
"13",122.5,45.38
"14",122.5,45.38
"15",125.4,42.32
"16",125.4,42.32
"17",124.49,45.11
"18",124.49,45.11
"19",115.55,28.4
"20",115.55,28.4
"21",116.07,43.95
"22",116.07,43.95
"23",122.05,46.08
"24",122.05,46.08
"25",106.28,36
"26",106.28,36
"27",105.18,37.52
"28",105.18,37.52
"29",111.31,36.05
"30",111.31,36.05
"31",111.13,37.52
"32",111.13,37.52
"33",110.27,35.28
"34",110.27,35.28
"35",108.07,34.28
"36",108.07,34.28
"37",102.22,31.9
"38",102.22,31.9
"39",80.19,41.09
"40",80.19,41.09
"41",87.53,44.17
"42",87.53,44.17
"43",83.51,44.2
"44",83.51,44.2
"45",87.36,43.45
"46",87.36,43.45
"47",100.08,23.88
"48",100.08,23.88
"49",118.75,30.95
"50",118.75,30.95
"51",118.75,30.95
"52",107.63,35.73
"53",107.63,35.73
"54",107.63,35.73
"55",114.41,23.43
"56",114.41,23.43
"57",114.41,23.43
"58",108.64,19.09
"59",108.64,19.09
"60",108.64,19.09
"61",109.17,18.73
"62",109.17,18.73
"63",109.17,18.73
"64",124.12,50.42
"65",124.12,50.42
"66",124.12,50.42
"67",109.73,28.32
"68",109.73,28.32
"69",109.73,28.32
"70",110.29,29.08
"71",110.29,29.08
"72",110.29,29.08
"73",126.33,43.52
"74",126.33,43.52
"75",126.33,43.52
"76",123.12,41.16
"77",123.12,41.16
"78",123.12,41.16
"79",106.48,39.4
"80",106.48,39.4
"81",106.48,39.4
"82",100.9,36.97
"83",100.9,36.97
"84",100.9,36.97
"85",109.28,36.35
"86",109.28,36.35
"87",109.28,36.35
"88",109.47,38.18
"89",109.47,38.18
"90",109.47,38.18
"91",104.38,30.09
"92",104.38,30.09
"93",104.38,30.09
"94",86,44.18
"95",86,44.18
"96",86,44.18
"97",104.25,23.37
"98",104.25,23.37
"99",104.25,23.37
"100",106.36,23.54
"101",106.36,23.54
"102",106.36,23.54
"103",104.9,25.08
"104",104.9,25.08
"105",104.9,25.08
"106",109.7,18.64
"107",109.7,18.64
"108",109.7,18.64
"109",110.31,19.68
"110",110.31,19.68
"111",110.31,19.68
"112",110.72,19.61
"113",110.72,19.61
"114",110.72,19.61
"115",110.67,31.75
"116",110.67,31.75
"117",110.67,31.75
"118",125.56,41.43
"119",125.56,41.43
"120",125.56,41.43
"121",129.5,42.88
"122",129.5,42.88
"123",129.5,42.88
"124",123,41.07
"125",123,41.07
"126",123,41.07
"127",123.46,41.18
"128",123.46,41.18
"129",123.46,41.18
"130",118.58,42.17
"131",118.58,42.17
"132",118.58,42.17
"133",113.12,40.98
"134",113.12,40.98
"135",113.12,40.98
"136",103.44,29.36
"137",103.44,29.36
"138",103.44,29.36
"139",86.15,41.77
"140",86.15,41.77
"141",86.15,41.77
"142",98.58,24.43
"143",98.58,24.43
"144",98.58,24.43
"145",104.92,33.4
"146",104.92,33.4
"147",104.92,33.4
"148",115.21,22.47
"149",115.21,22.47
"150",115.21,22.47
"151",113.37,24.48
"152",113.37,24.48
"153",113.37,24.48
"154",111.55,24.42
"155",111.55,24.42
"156",111.55,24.42
"157",105.55,26.14
"158",105.55,26.14
"159",105.55,26.14
"160",110.02,18.48
"161",110.02,18.48
"162",110.02,18.48
"163",112.35,35.04
"164",112.35,35.04
"165",112.35,35.04
"166",111.12,34.47
"167",111.12,34.47
"168",111.12,34.47
"169",130.16,47.2
"170",130.16,47.2
"171",130.16,47.2
"172",124.49,43.31
"173",124.49,43.31
"174",124.49,43.31
"175",117.13,29.17
"176",117.13,29.17
"177",117.13,29.17
"178",120.27,41.34
"179",120.27,41.34
"180",120.27,41.34
"181",124.22,40.08
"182",124.22,40.08
"183",124.22,40.08
"184",113.34,37.51
"185",113.34,37.51
"186",113.34,37.51
"187",109.07,35.06
"188",109.07,35.06
"189",109.07,35.06
"190",102.59,29.59
"191",102.59,29.59
"192",102.59,29.59
"193",82.15,45.25
"194",82.15,45.25
"195",82.15,45.25
"196",87.18,44.02
"197",87.18,44.02
"198",87.18,44.02
"199",101.32,25.01
"200",101.32,25.01
"201",101.32,25.01
"202",103.4,23.37
"203",103.4,23.37
"204",103.4,23.37
"205",100.58,22.46
"206",100.58,22.46
"207",100.58,22.46
"208",117.01,25.06
"209",117.01,25.06
"210",117.01,25.06
"211",102.92,34.98
"212",102.92,34.98
"213",102.92,34.98
"214",116.38,23.4
"215",116.38,23.4
"216",116.38,23.4
"217",116.21,22.32
"218",116.21,22.32
"219",116.21,22.32
"220",109.12,27.43
"221",109.12,27.43
"222",109.12,27.43
"223",109.69,19.91
"224",109.69,19.91
"225",109.69,19.91
"226",110.28,19.14
"227",110.28,19.14
"228",110.28,19.14
"229",125.09,42.54
"230",125.09,42.54
"231",125.09,42.54
"232",119.77,49.22
"233",119.77,49.22
"234",119.77,49.22
"235",112.26,39.19
"236",112.26,39.19
"237",112.26,39.19
"238",105.51,32.28
"239",105.51,32.28
"240",105.51,32.28
"241",101.43,26.34
"242",101.43,26.34
"243",101.43,26.34
"244",100.23,26.88
"245",100.23,26.88
"246",100.23,26.88
"247",122.06,30.01
"248",122.06,30.01
"249",122.06,30.01
"250",104.62,35.58
"251",104.62,35.58
"252",104.62,35.58
"253",105.42,34.37
