lng,lat
104.62,35.58
104.62,35.58
104.62,35.58
104.62,35.58
104.62,35.58
107.63,35.73
107.63,35.73
107.63,35.73
107.63,35.73
107.63,35.73
116.38,23.4
116.38,23.4
116.38,23.4
116.38,23.4
116.38,23.4
115.21,22.47
115.21,22.47
115.21,22.47
115.21,22.47
115.21,22.47
108.37,21.57
108.37,21.57
108.37,21.57
108.37,21.57
108.37,21.57
108.64,19.09
108.64,19.09
108.64,19.09
108.64,19.09
108.64,19.09
110.28,19.14
110.28,19.14
110.28,19.14
110.28,19.14
110.28,19.14
119.35,39.55
119.35,39.55
119.35,39.55
119.35,39.55
119.35,39.55
130.16,47.2
130.16,47.2
130.16,47.2
130.16,47.2
130.16,47.2
128.56,47.42
128.56,47.42
128.56,47.42
128.56,47.42
128.56,47.42
110.67,31.75
110.67,31.75
110.67,31.75
110.67,31.75
110.67,31.75
122.5,45.38
122.5,45.38
122.5,45.38
122.5,45.38
122.5,45.38
115.55,28.4
115.55,28.4
115.55,28.4
115.55,28.4
115.55,28.4
124.22,40.08
124.22,40.08
124.22,40.08
124.22,40.08
124.22,40.08
121.09,41.07
121.09,41.07
121.09,41.07
121.09,41.07
121.09,41.07
106.48,39.4
106.48,39.4
106.48,39.4
106.48,39.4
106.48,39.4
113.12,40.98
113.12,40.98
113.12,40.98
113.12,40.98
113.12,40.98
122.05,46.08
122.05,46.08
122.05,46.08
122.05,46.08
122.05,46.08
115.26,35.14
115.26,35.14
115.26,35.14
115.26,35.14
115.26,35.14
110.59,35.02
110.59,35.02
110.59,35.02
110.59,35.02
110.59,35.02
113.06,36.11
113.06,36.11
113.06,36.11
113.06,36.11
113.06,36.11
107.09,34.22
107.09,34.22
107.09,34.22
107.09,34.22
107.09,34.22
108.43,34.2
108.43,34.2
108.43,34.2
108.43,34.2
108.43,34.2
102.59,29.59
102.59,29.59
102.59,29.59
102.59,29.59
102.59,29.59
104.46,29.23
104.46,29.23
104.46,29.23
104.46,29.23
104.46,29.23
87.18,44.02
87.18,44.02
87.18,44.02
87.18,44.02
87.18,44.02
99.1,25.08
99.1,25.08
99.1,25.08
99.1,25.08
99.1,25.08
100.13,25.34
100.13,25.34
100.13,25.34
100.13,25.34
100.13,25.34
98.58,24.43
98.58,24.43
98.58,24.43
98.58,24.43
98.58,24.43
102.32,24.22
102.32,24.22
102.32,24.22
102.32,24.22
102.32,24.22
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
110,19.75
110,19.75
110,19.75
110,19.75
110,19.75
110,19.75
110,19.75
110,19.75
110,19.75
110,19.75
109.34,19.31
109.34,19.31
109.34,19.31
109.34,19.31
109.34,19.31
109.34,19.31
109.34,19.31
109.34,19.31
109.34,19.31
109.34,19.31
110.39,18.8
110.39,18.8
110.39,18.8
110.39,18.8
110.39,18.8
110.39,18.8
110.39,18.8
110.39,18.8
110.39,18.8
110.39,18.8
112.35,35.04
112.35,35.04
112.35,35.04
112.35,35.04
112.35,35.04
112.35,35.04
112.35,35.04
112.35,35.04
112.35,35.04
112.35,35.04
111.37,26.13
111.37,26.13
111.37,26.13
111.37,26.13
111.37,26.13
111.37,26.13
111.37,26.13
111.37,26.13
111.37,26.13
111.37,26.13
124.49,43.31
124.49,43.31
124.49,43.31
124.49,43.31
124.49,43.31
124.49,43.31
124.49,43.31
124.49,43.31
124.49,43.31
124.49,43.31
118.18,33.58
118.18,33.58
118.18,33.58
118.18,33.58
118.18,33.58
118.18,33.58
118.18,33.58
118.18,33.58
118.18,33.58
118.18,33.58
119.27,32.11
119.27,32.11
119.27,32.11
119.27,32.11
119.27,32.11
119.27,32.11
119.27,32.11
119.27,32.11
119.27,32.11
119.27,32.11
122.03,41.07
122.03,41.07
122.03,41.07
122.03,41.07
122.03,41.07
122.03,41.07
122.03,41.07
122.03,41.07
122.03,41.07
122.03,41.07
123.25,41.48
123.25,41.48
123.25,41.48
123.25,41.48
123.25,41.48
123.25,41.48
123.25,41.48
123.25,41.48
123.25,41.48
123.25,41.48
107.42,40.75
107.42,40.75
107.42,40.75
107.42,40.75
107.42,40.75
107.42,40.75
107.42,40.75
107.42,40.75
107.42,40.75
107.42,40.75
109.8,39.62
109.8,39.62
109.8,39.62
109.8,39.62
109.8,39.62
109.8,39.62
109.8,39.62
109.8,39.62
109.8,39.62
109.8,39.62
117.33,34.52
117.33,34.52
117.33,34.52
117.33,34.52
117.33,34.52
117.33,34.52
117.33,34.52
117.33,34.52
117.33,34.52
117.33,34.52
112.26,39.19
112.26,39.19
112.26,39.19
112.26,39.19
112.26,39.19
112.26,39.19
112.26,39.19
112.26,39.19
112.26,39.19
112.26,39.19
112.43,38.24
112.43,38.24
112.43,38.24
112.43,38.24
112.43,38.24
112.43,38.24
112.43,38.24
112.43,38.24
112.43,38.24
112.43,38.24
109.93,33.87
109.93,33.87
109.93,33.87
109.93,33.87
109.93,33.87
109.93,33.87
109.93,33.87
109.93,33.87
109.93,33.87
109.93,33.87
109.07,35.06
109.07,35.06
109.07,35.06
109.07,35.06
109.07,35.06
109.07,35.06
109.07,35.06
109.07,35.06
109.07,35.06
109.07,35.06
103.83,30.05
103.83,30.05
103.83,30.05
103.83,30.05
103.83,30.05
103.83,30.05
103.83,30.05
103.83,30.05
103.83,30.05
103.83,30.05
104.34,28.47
104.34,28.47
104.34,28.47
104.34,28.47
104.34,28.47
104.34,28.47
104.34,28.47
104.34,28.47
104.34,28.47
104.34,28.47
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
86,44.18
86,44.18
86,44.18
86,44.18
86,44.18
86,44.18
86,44.18
86,44.18
86,44.18
86,44.18
82.15,45.25
82.15,45.25
82.15,45.25
82.15,45.25
82.15,45.25
82.15,45.25
82.15,45.25
82.15,45.25
82.15,45.25
82.15,45.25
87.53,44.17
87.53,44.17
87.53,44.17
87.53,44.17
87.53,44.17
87.53,44.17
87.53,44.17
87.53,44.17
87.53,44.17
87.53,44.17
87.36,43.45
87.36,43.45
87.36,43.45
87.36,43.45
87.36,43.45
87.36,43.45
87.36,43.45
87.36,43.45
87.36,43.45
87.36,43.45
89.11,42.54
89.11,42.54
89.11,42.54
89.11,42.54
89.11,42.54
89.11,42.54
89.11,42.54
89.11,42.54
89.11,42.54
89.11,42.54
100.8,22.02
100.8,22.02
100.8,22.02
100.8,22.02
100.8,22.02
100.8,22.02
100.8,22.02
100.8,22.02
100.8,22.02
100.8,22.02
118.18,29.43
118.18,29.43
118.18,29.43
118.18,29.43
118.18,29.43
118.18,29.43
118.18,29.43
118.18,29.43
118.18,29.43
118.18,29.43
119.31,26.39
119.31,26.39
119.31,26.39
119.31,26.39
119.31,26.39
119.31,26.39
119.31,26.39
119.31,26.39
119.31,26.39
119.31,26.39
103.51,36.04
103.51,36.04
103.51,36.04
103.51,36.04
103.51,36.04
103.51,36.04
103.51,36.04
103.51,36.04
103.51,36.04
103.51,36.04
106.4,35.32
106.4,35.32
106.4,35.32
106.4,35.32
106.4,35.32
106.4,35.32
106.4,35.32
106.4,35.32
106.4,35.32
106.4,35.32
116.21,22.32
116.21,22.32
116.21,22.32
116.21,22.32
116.21,22.32
116.21,22.32
116.21,22.32
116.21,22.32
116.21,22.32
116.21,22.32
116.41,23.22
116.41,23.22
116.41,23.22
116.41,23.22
116.41,23.22
116.41,23.22
116.41,23.22
116.41,23.22
116.41,23.22
116.41,23.22
113.37,24.48
113.37,24.48
113.37,24.48
113.37,24.48
113.37,24.48
113.37,24.48
113.37,24.48
113.37,24.48
113.37,24.48
113.37,24.48
114.28,36.36
114.28,36.36
114.28,36.36
114.28,36.36
114.28,36.36
114.28,36.36
114.28,36.36
114.28,36.36
114.28,36.36
114.28,36.36
114.53,40.48
114.53,40.48
114.53,40.48
114.53,40.48
114.53,40.48
114.53,40.48
114.53,40.48
114.53,40.48
114.53,40.48
114.53,40.48
113.12,35.14
