"","lng","lat"
"1",117.01,25.06
"2",117.01,25.06
"3",117.01,25.06
"4",117.01,25.06
"5",117.01,25.06
"6",116.38,23.4
"7",116.38,23.4
"8",116.38,23.4
"9",116.38,23.4
"10",116.38,23.4
"11",115.21,22.47
"12",115.21,22.47
"13",115.21,22.47
"14",115.21,22.47
"15",115.21,22.47
"16",108.37,21.57
"17",108.37,21.57
"18",108.37,21.57
"19",108.37,21.57
"20",108.37,21.57
"21",105.55,26.14
"22",105.55,26.14
"23",105.55,26.14
"24",105.55,26.14
"25",105.55,26.14
"26",104.5,26.35
"27",104.5,26.35
"28",104.5,26.35
"29",104.5,26.35
"30",104.5,26.35
"31",108.64,19.09
"32",108.64,19.09
"33",108.64,19.09
"34",108.64,19.09
"35",108.64,19.09
"36",109.69,19.91
"37",109.69,19.91
"38",109.69,19.91
"39",109.69,19.91
"40",109.69,19.91
"41",110.28,19.14
"42",110.28,19.14
"43",110.28,19.14
"44",110.28,19.14
"45",110.28,19.14
"46",119.35,39.55
"47",119.35,39.55
"48",119.35,39.55
"49",119.35,39.55
"50",119.35,39.55
"51",130.16,47.2
"52",130.16,47.2
"53",130.16,47.2
"54",130.16,47.2
"55",130.16,47.2
"56",128.56,47.42
"57",128.56,47.42
"58",128.56,47.42
"59",128.56,47.42
"60",128.56,47.42
"61",110.67,31.75
"62",110.67,31.75
"63",110.67,31.75
"64",110.67,31.75
"65",110.67,31.75
"66",109.58,27.33
"67",109.58,27.33
"68",109.58,27.33
"69",109.58,27.33
"70",109.58,27.33
"71",122.5,45.38
"72",122.5,45.38
"73",122.5,45.38
"74",122.5,45.38
"75",122.5,45.38
"76",115.55,28.4
"77",115.55,28.4
"78",115.55,28.4
"79",115.55,28.4
"80",115.55,28.4
"81",124.22,40.08
"82",124.22,40.08
"83",124.22,40.08
"84",124.22,40.08
"85",124.22,40.08
"86",106.28,36
"87",106.28,36
"88",106.28,36
"89",106.28,36
"90",106.28,36
"91",115.26,35.14
"92",115.26,35.14
"93",115.26,35.14
"94",115.26,35.14
"95",115.26,35.14
"96",110.59,35.02
"97",110.59,35.02
"98",110.59,35.02
"99",110.59,35.02
"100",110.59,35.02
"101",107.09,34.22
"102",107.09,34.22
"103",107.09,34.22
"104",107.09,34.22
"105",107.09,34.22
"106",108.43,34.2
"107",108.43,34.2
"108",108.43,34.2
"109",108.43,34.2
"110",108.43,34.2
"111",102.59,29.59
"112",102.59,29.59
"113",102.59,29.59
"114",102.59,29.59
"115",102.59,29.59
"116",104.46,29.23
