"","lng","lat"
"1",130.49,45.48
"2",130.49,45.48
"3",130.49,45.48
"4",130.49,45.48
"5",130.49,45.48
"6",130.49,45.48
"7",130.49,45.48
"8",130.49,45.48
"9",130.49,45.48
"10",130.49,45.48
"11",130.49,45.48
"12",130.49,45.48
"13",130.49,45.48
"14",130.49,45.48
"15",130.49,45.48
"16",130.49,45.48
"17",130.49,45.48
"18",130.49,45.48
"19",130.49,45.48
"20",130.49,45.48
"21",130.49,45.48
"22",130.49,45.48
"23",130.49,45.48
"24",130.49,45.48
"25",130.49,45.48
"26",130.49,45.48
"27",130.49,45.48
"28",130.49,45.48
"29",130.49,45.48
"30",130.49,45.48
"31",130.49,45.48
"32",130.49,45.48
"33",130.49,45.48
"34",130.49,45.48
"35",130.49,45.48
"36",130.49,45.48
"37",130.49,45.48
"38",130.49,45.48
"39",130.49,45.48
"40",130.49,45.48
"41",130.49,45.48
"42",130.49,45.48
"43",130.49,45.48
"44",130.49,45.48
"45",130.49,45.48
"46",130.49,45.48
"47",130.49,45.48
"48",130.49,45.48
"49",130.49,45.48
"50",130.49,45.48
"51",130.49,45.48
"52",130.49,45.48
"53",130.49,45.48
"54",130.49,45.48
"55",130.49,45.48
"56",130.49,45.48
"57",130.49,45.48
"58",130.49,45.48
"59",130.49,45.48
"60",130.49,45.48
"61",130.49,45.48
"62",130.49,45.48
"63",130.49,45.48
"64",130.49,45.48
"65",130.49,45.48
"66",130.49,45.48
"67",130.49,45.48
"68",130.49,45.48
"69",130.49,45.48
"70",130.49,45.48
"71",130.49,45.48
"72",130.49,45.48
"73",130.49,45.48
"74",130.49,45.48
"75",130.49,45.48
"76",130.49,45.48
"77",130.49,45.48
"78",130.49,45.48
"79",130.49,45.48
"80",130.49,45.48
"81",130.49,45.48
"82",130.49,45.48
"83",130.49,45.48
"84",130.49,45.48
"85",130.49,45.48
"86",130.49,45.48
"87",130.49,45.48
"88",130.49,45.48
"89",130.49,45.48
"90",130.49,45.48
"91",130.49,45.48
"92",130.49,45.48
"93",130.49,45.48
"94",130.49,45.48
"95",130.49,45.48
"96",130.49,45.48
"97",130.49,45.48
"98",130.49,45.48
"99",130.49,45.48
"100",130.49,45.48
"101",130.49,45.48
"102",130.49,45.48
"103",130.49,45.48
"104",130.49,45.48
"105",130.49,45.48
"106",130.49,45.48
"107",130.49,45.48
"108",130.49,45.48
"109",130.49,45.48
"110",130.49,45.48
"111",130.49,45.48
"112",130.49,45.48
"113",130.49,45.48
"114",130.49,45.48
"115",130.49,45.48
"116",130.49,45.48
"117",130.49,45.48
"118",130.49,45.48
"119",130.49,45.48
"120",130.49,45.48
"121",130.49,45.48
"122",130.49,45.48
"123",130.49,45.48
"124",130.49,45.48
"125",130.49,45.48
"126",130.49,45.48
"127",130.49,45.48
"128",130.49,45.48
"129",130.49,45.48
"130",130.49,45.48
"131",130.49,45.48
"132",130.49,45.48
"133",130.49,45.48
"134",130.49,45.48
"135",130.49,45.48
"136",130.49,45.48
"137",130.49,45.48
"138",130.49,45.48
"139",130.49,45.48
"140",130.49,45.48
"141",130.49,45.48
"142",130.49,45.48
"143",130.49,45.48
"144",130.49,45.48
"145",130.49,45.48
"146",130.49,45.48
"147",130.49,45.48
"148",130.49,45.48
"149",130.49,45.48
"150",130.49,45.48
"151",130.49,45.48
"152",130.49,45.48
"153",130.49,45.48
"154",130.49,45.48
"155",130.49,45.48
"156",130.49,45.48
"157",130.49,45.48
"158",130.49,45.48
"159",130.49,45.48
"160",130.49,45.48
"161",130.49,45.48
"162",130.49,45.48
"163",130.49,45.48
"164",130.49,45.48
"165",130.49,45.48
"166",130.49,45.48
"167",130.49,45.48
"168",130.49,45.48
"169",130.49,45.48
"170",130.49,45.48
"171",130.49,45.48
"172",130.49,45.48
"173",130.49,45.48
"174",130.49,45.48
"175",130.49,45.48
"176",130.49,45.48
"177",130.49,45.48
"178",130.49,45.48
"179",130.49,45.48
"180",130.49,45.48
"181",130.49,45.48
"182",130.49,45.48
"183",130.49,45.48
"184",130.49,45.48
"185",130.49,45.48
"186",130.49,45.48
"187",130.49,45.48
"188",130.49,45.48
"189",130.49,45.48
"190",130.49,45.48
"191",130.49,45.48
"192",130.49,45.48
"193",130.49,45.48
"194",130.49,45.48
"195",130.49,45.48
"196",130.49,45.48
"197",130.49,45.48
"198",130.49,45.48
"199",130.49,45.48
"200",130.49,45.48
"201",130.49,45.48
"202",130.49,45.48
"203",130.49,45.48
"204",130.49,45.48
"205",130.49,45.48
"206",130.49,45.48
"207",130.49,45.48
"208",130.49,45.48
"209",130.49,45.48
"210",130.49,45.48
"211",130.49,45.48
"212",130.49,45.48
"213",130.49,45.48
"214",130.49,45.48
"215",130.49,45.48
"216",130.49,45.48
"217",130.49,45.48
"218",130.49,45.48
"219",130.49,45.48
"220",130.49,45.48
"221",130.49,45.48
"222",130.49,45.48
"223",130.49,45.48
"224",130.49,45.48
"225",130.49,45.48
"226",130.49,45.48
"227",130.49,45.48
"228",130.49,45.48
"229",130.49,45.48
"230",130.49,45.48
"231",130.49,45.48
"232",130.49,45.48
"233",130.49,45.48
"234",130.49,45.48
"235",130.49,45.48
"236",130.49,45.48
